event_index,sign,be10_onset_bp,be10_end_bp,be10_center_bp,be10_duration_years,be10_amplitude_sigma,c14_onset_bp,c14_end_bp,c14_center_bp,c14_duration_years,c14_amplitude_sigma
1,1,307.2,389.2,334.2,82.0,1.843,313.0,396.0,346.0,83.0,2.273
2,0,390.2,551.2,487.2,161.0,-2.09,397.0,564.0,500.0,167.0,-1.908
3,1,552.2,610.2,577.2,58.0,2.251,565.0,601.0,580.0,36.0,1.763
4,0,611.2,686.2,667.2,75.0,-1.788,602.0,693.0,650.0,91.0,-1.602
5,1,687.2,725.2,701.2,38.0,2.431,694.0,718.0,700.0,24.0,0.4335
6,1,725.2,770.2,750.2,45.0,1.033,738.0,779.0,749.0,41.0,0.8133
7,1,770.2,832.2,812.2,62.0,1.274,796.0,826.0,810.0,30.0,1.898
8,1,832.2,897.2,851.2,65.0,0.9834,826.0,871.0,840.0,45.0,1.301
9,0,898.2,945.2,923.2,47.0,-1.516,872.0,937.0,900.0,65.0,-1.328
10,0,945.2,975.2,961.2,30.0,-0.9218,950.0,967.0,959.0,17.0,-0.4451
11,1,976.2,1032.0,1013.0,55.8,1.321,968.0,1037.0,1025.0,69.0,1.221
12,0,1033.0,1064.0,1049.0,31.0,-1.312,1038.0,1066.0,1050.0,28.0,-1.025
13,1,1065.0,1099.0,1080.0,34.0,1.064,1067.0,1128.0,1100.0,61.0,0.8415
14,0,1161.0,1193.0,1174.0,32.0,-0.7733,1157.0,1185.0,1170.0,28.0,-1.38
15,1,1194.0,1216.0,1207.0,22.0,0.6852,1186.0,1210.0,1198.0,24.0,0.9879
16,0,1217.0,1324.0,1274.0,107.0,-2.997,1211.0,1313.0,1260.0,102.0,-1.582
17,0,1324.0,1357.0,1339.0,33.0,-1.336,1329.0,1352.0,1343.0,23.0,-0.2819
18,1,1387.0,1404.0,1395.0,17.0,0.7903,1388.0,1399.0,1394.0,11.0,0.07781
19,0,1405.0,1419.0,1413.0,14.0,-0.4045,1400.0,1411.0,1407.0,11.0,-0.1744
20,1,1420.0,1447.0,1433.0,27.0,1.461,1412.0,1484.0,1429.0,72.0,1.93
21,0,1448.0,1554.0,1533.0,106.0,-1.2,1485.0,1539.0,1516.0,54.0,-0.8846
22,1,1555.0,1594.0,1581.0,39.0,1.089,1540.0,1609.0,1579.0,69.0,1.345
23,1,1594.0,1666.0,1636.0,72.0,3.181,1609.0,1676.0,1645.0,67.0,1.87
24,0,1667.0,1703.0,1684.0,36.0,-1.486,1677.0,1711.0,1689.0,34.0,-0.9565
25,1,1704.0,1741.0,1726.0,37.0,1.715,1712.0,1800.0,1750.0,88.0,1.45
26,0,1809.0,1840.0,1826.0,31.0,-2.035,1801.0,1826.0,1817.0,25.0,-0.7722
27,1,1841.0,1864.0,1851.0,23.0,1.403,1827.0,1854.0,1836.0,27.0,0.7996
28,0,1865.0,1895.0,1880.0,30.0,-1.38,1855.0,1881.0,1865.0,26.0,-0.4776
29,1,1946.0,1990.0,1969.0,44.0,1.285,1946.0,1982.0,1959.0,36.0,1.315
30,0,1991.0,2003.0,1997.0,12.0,-0.1448,1983.0,1995.0,1989.0,12.0,-0.3792
31,1,2004.0,2038.0,2019.0,34.0,1.064,1996.0,2038.0,2016.0,42.0,1.603
32,1,2046.0,2118.0,2062.0,72.0,0.9905,2038.0,2094.0,2077.0,56.0,1.164
33,1,2118.0,2177.0,2150.0,59.0,2.689,2157.0,2179.0,2168.0,22.0,1.666
34,1,2197.0,2240.0,2213.0,43.0,1.661,2179.0,2205.0,2191.0,26.0,1.811
35,0,2271.0,2353.0,2294.0,82.0,-2.024,2252.0,2359.0,2298.0,107.0,-2.233
36,1,2354.0,2421.0,2397.0,67.0,2.048,2360.0,2454.0,2383.0,94.0,1.948
