# age_bp	solar_modulation_potential_mev
305	339.2485932179766
306	339.845952888234
307	342.5859899245335
308	346.07058800103533
309	351.01529240755855
310	356.4910893849187
311	363.12088966766896
312	370.1896457657155
313	377.9709677419354
314	386.03548387096765
315	395.50740740740724
316	405.56316208681784
317	417.9121334913033
318	431.25329895162355
319	445.5549789928518
320	460.2898508592024
321	475.8375380816789
322	491.76712928854437
323	509.4349375759143
324	527.953087353896
325	547.79072499552
326	568.3000736743593
327	587.6377252543755
328	606.3549949224424
329	621.540485056052
330	634.7819577467594
331	644.8567272654866
332	653.1202027040481
333	656.8869934887796
334	657.9821528842516
335	654.3977001652694
336	647.9263037374802
337	638.2380681195925
338	626.4898776396093
339	611.9302270011949
340	595.5025089605737
341	576.9529271206694
342	556.9409796893673
343	538.6131020887678
344	521.4887915413871
345	506.02279524501694
346	491.7857231038809
347	479.7444734274508
348	469.39023914298826
349	461.142080006372
350	454.5711236335398
351	450.0727982318154
352	447.2851197706139
353	446.1073256207562
354	446.3064455108421
355	448.40574261763015
356	452.1890205292607
357	457.0622528424364
358	462.93628959996806
359	469.57566356703364
360	476.94309950020914
361	484.8621015113201
362	493.3246968399674
363	502.6247506023376
364	512.7798649967143
365	523.1768901455565
366	533.829804265148
367	544.6252765305006
368	555.5769795203154
369	566.2956093189964
370	576.7496117084826
371	585.8769016328155
372	593.4436081242532
373	598.8564066824636
374	601.644085143665
375	602.4521435256167
376	600.7596244598873
377	595.7475239441668
378	586.3888891101334
379	574.2852173393602
380	558.4551860775373
381	541.3432667609165
382	522.4268772027638
383	502.90342087971186
384	482.49363214591546
385	461.4899782959324
386	439.5867903864917
387	418.4965313315146
388	398.6841022679756
389	380.8388741761415
390	366.2035622548334
391	352.4920172836062
392	340.34570398837127
393	329.0290137591844
394	319.17257919993637
395	310.0199538041856
396	302.1547181457955
397	294.83842653896306
398	288.56608755388726
399	282.29372759856625
400	276.02132616487455
401	269.5861409796894
402	262.81592990840306
403	255.76064196252565
404	248.09452619422143
405	240.24361123832642
406	231.98013579976492
407	223.86625913462493
408	216.100583421278
409	208.74146273471263
410	202.36962625196625
411	196.70177814061842
412	192.81894028394493
413	189.53624977599011
414	187.84373071026067
415	186.6
416	186.6
417	187.2124609227216
418	189.60189960375143
419	192.3116465223711
420	195.99536448895876
421	199.9879492642519
422	204.96594651639754
423	210.05836320191165
424	215.53426921545207
425	220.98817204301076
426	226.36451612903224
427	231.65634153383576
428	236.63438834738795
429	241.53143107465
430	246.11118854662394
431	250.51663049322002
432	254.20034845980766
433	257.7731367356285
434	260.85949503195866
435	263.78737978136627
436	265.9776985723104
437	268.00073674359334
438	269.19545608410823
439	270.2633918082077
440	270.66163158837935
441	271.01496784213776
442	271.11452778718063
443	271.2563509288943
444	271.65459070906593
445	272.1981143346409
446	273.69151351028455
447	275.35749785946126
448	278.2447362657056
449	281.28079090420346
450	285.46230859600564
451	289.72836462834266
452	294.70636188048826
453	299.72311827957
454	305.0994623655915
455	310.3083930704899
456	313.79306053365195
457	317.0317400264832
458	317.4299837715674
459	317.59535254176546
460	314.708114135521
461	311.5491009736961
462	304.28122498556394
463	296.923306983135
464	287.9629119292729
465	278.90535433384457
466	267.7546404890384
467	256.52259015153
468	243.08199757073683
469	229.6095298779387
470	214.97421795663143
471	200.36910057545674
472	187.42630771987817
473	174.48441090380499
474	161.64117799326934
475	148.79816809701063
476	137.34877441707638
477	125.89938073714214
478	115.33824893968668
479	104.78489476513799
480	96.48130065112181
481	88.21782521256011
482	82.08693176161361
483	76.01377511399632
484	72.14982078853049
485	68.36646754281158
486	66.86746316208684
487	65.47359617682206
488	65.9658247130156
489	66.56319033064189
490	69.30932677565167
491	72.19656518189596
492	76.56452280918337
493	81.04472033611442
494	86.7165608012586
495	92.4910376137475
496	99.53650066705173
497	106.70481671014099
498	115.49141594153828
499	124.45181099540036
500	134.836598235798
501	145.3899524103467
502	158.3232054319907
503	171.56467812269727
