# age_bp	solar_modulation_potential_mev
305	386.0
306	404.0
307	423.8
308	442.4
309	461.2
310	473.6
311	484.6
312	495.8
313	507.2
314	519.0
315	538.0
316	549.8
317	559.4
318	569.0
319	579.0
320	589.6
321	606.6
322	626.6
323	644.6
324	661.8
325	668.0
326	662.4
327	654.8
328	649.0
329	646.4
330	651.8
331	658.2
332	665.0
333	672.2
334	679.8
335	686.6
336	701.6
337	720.8
338	739.2
339	757.6
340	800.2
341	832.4
342	862.0
343	890.6
344	913.8
345	916.4
346	916.4
347	916.2
348	914.0
349	910.2
350	909.8
351	878.2
352	846.0
353	819.8
354	795.2
355	767.6
356	753.2
357	742.6
358	732.2
359	722.4
360	708.4
361	689.4
362	670.2
363	652.8
364	638.2
365	629.2
366	626.0
367	624.4
368	622.8
369	622.8
370	623.6
371	628.0
372	632.8
373	636.4
374	637.4
375	634.8
376	626.8
377	618.8
378	610.6
379	602.4
380	590.6
381	576.2
382	562.2
383	549.4
384	538.6
385	537.0
386	541.2
387	544.8
388	547.4
389	548.2
390	545.8
391	544.8
392	543.0
393	540.4
394	537.0
395	529.6
396	513.6
397	494.6
398	477.0
399	460.0
400	445.8
401	436.8
402	429.4
403	422.0
404	414.6
405	407.0
406	402.0
407	397.8
408	393.4
409	389.4
410	382.8
411	373.8
412	364.4
413	354.8
414	345.8
415	331.8
416	318.2
417	305.6
418	294.6
419	285.2
420	275.8
421	269.6
422	265.0
423	261.6
424	260.2
425	260.8
426	268.4
427	276.2
428	283.6
429	290.6
430	297.4
431	304.2
432	310.8
433	317.4
434	322.8
435	331.0
436	337.6
437	342.2
438	346.2
439	349.2
440	351.2
441	352.6
442	352.6
443	352.6
444	352.2
445	350.2
446	344.6
447	337.2
448	329.8
449	322.4
450	313.4
451	305.0
452	297.0
453	290.0
454	283.0
455	276.4
456	271.0
457	266.4
458	262.2
459	258.2
460	257.4
461	257.6
462	258.6
463	259.6
464	261.0
465	262.2
466	263.6
467	264.8
468	265.0
469	265.0
470	263.0
471	259.2
472	255.2
473	250.6
474	246.0
475	241.0
476	236.2
477	231.4
478	226.8
479	222.4
480	219.0
481	218.2
482	217.4
483	216.6
484	215.8
485	214.6
486	213.4
487	212.0
488	210.2
489	208.2
490	202.0
491	194.4
492	187.6
493	181.0
494	175.0
495	168.4
496	162.0
497	156.4
498	151.6
499	148.4
500	147.6
501	150.4
502	154.2
503	158.4
504	162.8
505	168.2
506	175.2
507	183.2
508	190.8
509	198.6
510	207.8
511	216.6
512	224.8
513	232.4
514	240.2
515	248.0
516	255.4
517	262.6
518	269.4
519	275.6
520	281.6
521	285.4
522	288.8
523	292.0
524	295.2
525	296.6
526	297.6
527	298.4
528	299.0
529	299.2
530	299.2
531	299.2
532	299.2
533	299.8
534	300.6
535	302.2
536	305.2
537	308.8
538	312.8
539	317.2
540	322.8
541	331.4
542	339.4
543	347.4
544	355.6
545	364.2
546	372.2
547	379.8
548	387.2
549	394.0
550	396.6
551	396.6
552	396.6
553	397.8
554	398.8
555	399.6
556	401.0
557	403.6
558	407.2
559	410.0
560	418.6
561	432.6
562	448.6
563	466.2
564	483.8
565	508.6
566	534.0
567	559.4
568	585.0
569	609.8
570	642.8
571	672.6
572	700.0
573	725.8
574	748.8
575	774.2
576	790.4
577	804.0
578	815.4
579	823.8
580	827.0
581	821.0
582	810.0
583	798.0
584	786.4
585	772.2
586	753.2
587	732.0
588	711.6
589	692.2
590	674.0
591	656.4
592	640.2
593	624.8
594	609.2
595	592.8
596	578.2
597	563.4
598	548.8
599	535.0
600	521.0
601	507.0
602	492.8
603	478.4
604	464.6
605	447.8
606	432.2
607	416.8
608	401.6
609	388.2
610	370.6
611	352.6
612	335.6
613	319.6
614	304.0
615	288.6
616	276.4
617	265.0
618	254.0
619	244.0
620	234.0
621	228.4
622	223.6
623	219.8
624	216.4
625	213.8
626	213.2
627	213.2
628	213.2
629	214.2
630	215.6
631	217.4
632	219.6
633	221.6
634	223.2
635	224.4
636	225.6
637	226.4
638	226.4
639	226.4
640	225.0
641	223.4
642	221.6
643	219.8
644	218.4
645	215.6
646	213.0
647	211.0
648	209.0
649	208.0
650	208.0
651	208.4
652	209.4
653	210.6
654	211.8
655	213.2
656	215.8
657	219.0
658	222.4
659	225.8
660	227.2
661	228.4
662	230.0
663	232.2
664	234.6
665	238.0
666	242.0
667	246.6
668	251.6
669	257.6
670	265.8
671	277.4
672	289.0
673	300.6
674	312.2
675	325.2
676	337.6
677	349.8
678	361.6
679	373.4
680	383.0
681	389.6
682	395.4
683	401.4
684	407.4
685	415.6
686	422.8
687	429.8
688	436.8
689	444.6
690	456.6
691	471.8
692	486.8
693	500.8
694	514.0
695	529.4
696	543.4
697	556.0
698	567.4
699	577.2
700	585.2
701	585.2
702	584.8
703	583.6
704	581.6
705	579.4
706	574.0
707	567.0
708	560.4
709	553.2
710	548.6
711	545.2
712	541.8
713	538.2
714	535.0
715	528.2
716	521.4
717	514.6
718	507.6
719	500.6
720	486.6
721	471.8
722	457.4
723	444.8
724	434.0
725	422.2
726	414.4
727	408.0
728	403.4
729	401.8
730	403.0
731	412.6
732	422.8
733	433.0
734	443.4
735	457.6
736	476.0
737	494.2
738	512.2
739	529.8
740	550.0
741	569.4
742	586.6
743	601.8
744	617.2
745	631.4
746	640.8
747	647.2
748	652.6
749	657.0
750	657.0
751	651.2
752	643.0
753	635.2
754	628.0
755	618.2
756	607.4
757	597.2
758	588.0
759	578.6
760	570.4
761	565.6
762	561.2
763	557.6
764	554.2
765	550.8
766	549.6
767	549.4
768	548.8
769	547.4
770	546.4
771	543.6
772	540.8
773	538.0
774	535.8
775	531.4
776	526.8
777	522.2
778	517.8
779	513.2
780	505.8
781	499.2
782	493.4
783	488.6
784	484.2
785	477.0
786	472.2
787	468.8
788	466.8
789	466.8
790	467.6
791	472.8
792	479.4
793	487.0
794	495.4
795	507.6
796	525.0
797	543.0
798	562.4
799	582.2
800	612.2
801	646.0
802	680.6
803	713.2
804	741.6
805	773.2
806	799.6
807	822.2
808	841.0
809	856.0
810	859.4
811	841.8
812	819.4
813	797.2
814	776.2
815	753.6
816	725.6
817	697.8
818	673.0
819	648.6
820	626.2
821	608.8
822	596.2
823	585.4
824	576.8
825	571.2
826	571.2
827	573.4
828	576.4
829	580.4
830	592.6
831	610.2
832	628.4
833	646.0
834	663.8
835	683.4
836	701.2
837	717.4
838	731.4
839	743.8
840	750.6
841	749.2
842	744.4
843	739.4
844	734.0
845	727.8
846	717.8
847	707.2
848	697.6
849	689.2
850	680.8
851	675.0
852	670.4
853	665.4
854	660.0
855	656.2
856	653.0
857	649.6
858	646.0
859	640.6
860	636.4
861	631.2
862	625.2
863	618.8
864	610.8
865	601.6
866	590.4
867	578.2
868	565.6
869	552.2
870	536.2
871	519.0
872	502.0
873	485.8
874	469.8
875	455.4
876	442.8
877	431.2
878	420.6
879	410.8
880	402.0
881	397.0
882	392.4
883	387.4
884	383.2
885	376.2
886	368.2
887	360.4
888	352.6
889	344.8
890	334.4
891	323.6
892	313.6
893	303.8
894	295.8
895	286.6
896	280.8
897	276.0
898	272.2
899	268.2
900	268.0
901	270.2
902	273.0
903	275.8
904	278.6
905	281.6
906	285.4
907	289.4
908	292.8
909	296.0
910	297.2
911	296.8
912	296.2
913	295.8
914	295.4
915	294.0
916	292.2
917	290.8
918	289.8
919	289.2
920	286.0
921	283.6
922	283.2
923	283.2
924	284.4
925	286.8
926	291.4
927	297.2
928	304.4
929	313.0
930	329.8
931	351.2
932	375.0
933	397.8
934	421.4
935	447.0
936	474.2
937	499.2
938	522.2
939	542.6
940	560.8
941	566.8
942	568.4
943	568.4
944	568.4
945	564.0
946	554.8
947	543.4
948	532.8
949	522.8
950	506.2
951	491.0
952	477.4
953	465.6
954	455.2
955	445.6
956	440.4
957	436.4
958	433.8
959	433.6
960	435.2
961	445.0
962	455.6
963	466.6
964	476.4
965	487.8
966	499.2
967	510.6
968	521.4
969	532.2
970	539.4
971	543.2
972	545.6
973	548.4
974	550.8
975	553.8
976	554.8
977	556.4
978	558.4
979	561.4
980	567.4
981	578.6
982	590.2
983	601.2
984	611.6
985	624.4
986	638.0
987	650.6
988	663.0
989	674.4
990	680.6
991	680.6
992	678.4
993	676.4
994	674.2
995	670.4
996	663.4
997	655.6
998	648.4
999	642.4
1000	635.6
1001	631.8
1002	629.0
1003	626.6
1004	624.0
1005	623.0
1006	623.0
1007	623.2
1008	624.2
1009	624.2
1010	627.8
1011	633.2
1012	639.0
1013	644.8
1014	650.8
1015	664.0
1016	676.2
1017	687.2
